,Date,Price,comm_count
290,2020-08-05,9.31,231
291,2020-08-06,9.47,207
292,2020-08-07,9.38,174
293,2020-08-08,28.14,67
295,2020-08-10,9.07,328
296,2020-08-11,9.1,198
297,2020-08-12,8.17,641
298,2020-08-13,8.33,501
299,2020-08-14,7.94,546
302,2020-08-17,7.47,474
303,2020-08-18,8.69,472
304,2020-08-19,9.05,337
306,2020-08-21,9.33,307
309,2020-08-24,9.3,215
310,2020-08-25,8.47,438
311,2020-08-26,8.78,332
312,2020-08-27,8.8,200
313,2020-08-28,8.76,176
317,2020-09-01,8.83,114
318,2020-09-02,8.69,199
319,2020-09-03,8.37,669
320,2020-09-04,8.38,349
323,2020-09-07,8.28,205
324,2020-09-08,7.64,516
325,2020-09-09,7.15,750
326,2020-09-10,6.45,1019
327,2020-09-11,7.76,1719
330,2020-09-14,8.58,956
331,2020-09-15,8.43,779
333,2020-09-17,7.79,2405
334,2020-09-18,7.98,888
337,2020-09-21,8.0,713
338,2020-09-22,8.03,856
339,2020-09-23,8.02,574
340,2020-09-24,8.55,725
341,2020-09-25,8.8,577
344,2020-09-28,8.77,386
345,2020-09-29,8.47,432
346,2020-09-30,8.3,308
347,2020-10-01,8.43,217
348,2020-10-02,8.76,417
351,2020-10-05,8.92,354
352,2020-10-06,8.64,345
353,2020-10-07,8.8,241
354,2020-10-08,8.8,133
355,2020-10-09,8.81,165
358,2020-10-12,8.97,299
359,2020-10-13,9.09,210
360,2020-10-14,9.48,317
361,2020-10-15,9.34,181
362,2020-10-16,9.34,170
365,2020-10-19,9.6,246
366,2020-10-20,9.48,117
367,2020-10-21,8.88,414
368,2020-10-22,8.9,301
369,2020-10-23,8.7,181
372,2020-10-26,8.7,218
373,2020-10-27,8.91,157
374,2020-10-28,8.78,173
376,2020-10-30,8.57,116
379,2020-11-02,8.39,246
380,2020-11-03,8.32,162
381,2020-11-04,8.1,238
382,2020-11-05,8.3,253
383,2020-11-06,8.5,276
386,2020-11-09,8.48,245
387,2020-11-10,7.8,503
388,2020-11-11,7.86,350
389,2020-11-12,7.7,371
390,2020-11-13,7.78,303
393,2020-11-16,7.2,590
394,2020-11-17,7.0,663
395,2020-11-18,7.01,589
396,2020-11-19,6.94,373
397,2020-11-20,7.29,350
400,2020-11-23,7.35,617
401,2020-11-24,6.8,635
402,2020-11-25,6.65,564
403,2020-11-26,7.05,387
404,2020-11-27,6.99,337
407,2020-11-30,7.12,176
408,2020-12-01,6.79,498
409,2020-12-02,6.68,312
410,2020-12-03,6.78,257
411,2020-12-04,6.65,231
414,2020-12-07,6.6,259
415,2020-12-08,7.09,450
416,2020-12-09,6.84,1325
417,2020-12-10,6.99,403
418,2020-12-11,6.9,353
421,2020-12-14,6.3,1032
422,2020-12-15,6.41,510
423,2020-12-16,6.77,471
424,2020-12-17,6.7,277
425,2020-12-18,6.64,265
428,2020-12-21,6.62,286
429,2020-12-22,6.69,205
430,2020-12-23,6.73,217
431,2020-12-24,6.49,214
435,2020-12-28,6.26,496
436,2020-12-29,6.01,667
437,2020-12-30,6.12,583
438,2020-12-31,6.12,391
442,2021-01-04,5.5,959
443,2021-01-05,5.72,371
444,2021-01-06,5.76,396
445,2021-01-07,5.8,437
446,2021-01-08,6.5,824
449,2021-01-11,6.43,688
450,2021-01-12,6.68,543
451,2021-01-13,6.63,466
452,2021-01-14,6.37,564
453,2021-01-15,6.42,357
456,2021-01-18,6.34,433
457,2021-01-19,6.13,376
458,2021-01-20,6.14,306
459,2021-01-21,6.02,458
460,2021-01-22,6.25,464
463,2021-01-25,6.52,494
464,2021-01-26,6.2,444
465,2021-01-27,6.21,334
467,2021-01-29,6.74,1253
471,2021-02-02,7.05,517
472,2021-02-03,6.82,486
473,2021-02-04,6.71,323
474,2021-02-05,6.61,406
477,2021-02-08,6.27,713
478,2021-02-09,6.2,373
479,2021-02-10,6.15,388
480,2021-02-11,6.18,145
484,2021-02-15,6.17,122
485,2021-02-16,6.06,248
486,2021-02-17,6.19,86
487,2021-02-18,6.07,82
488,2021-02-19,6.05,181
491,2021-02-22,5.78,381
492,2021-02-23,5.67,321
493,2021-02-24,5.23,639
494,2021-02-25,5.3,339
495,2021-02-26,5.24,282
498,2021-03-01,4.9,642
499,2021-03-02,4.75,487
500,2021-03-03,5.09,212
501,2021-03-04,4.96,233
502,2021-03-05,5.25,216
505,2021-03-08,5.04,222
506,2021-03-09,5.19,520
507,2021-03-10,5.32,267
508,2021-03-11,5.32,132
509,2021-03-12,5.2,192
512,2021-03-15,5.18,187
513,2021-03-16,5.24,100
514,2021-03-17,5.38,127
515,2021-03-18,5.26,139
516,2021-03-19,5.41,121
519,2021-03-22,5.4,133
520,2021-03-23,5.05,114
521,2021-03-24,5.12,70
522,2021-03-25,5.1,75
523,2021-03-26,5.15,97
526,2021-03-29,5.05,130
