"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 06, 2020","1.87","1.88","1.89","1.86","57.64M","-0.53%"
"Feb 05, 2020","1.88","1.90","1.91","1.86","78.52M","-1.05%"
"Feb 04, 2020","1.90","1.93","1.94","1.89","53.58M","-1.55%"
"Feb 03, 2020","1.93","1.95","1.98","1.90","46.56M","-1.03%"
"Jan 31, 2020","1.95","1.96","1.99","1.95","57.86M","-0.51%"
"Jan 30, 2020","1.96","1.97","1.97","1.91","82.79M","0.51%"
"Jan 29, 2020","1.95","2.00","2.01","1.87","116.29M","-2.50%"
"Jan 28, 2020","2.00","1.96","2.03","1.94","97.60M","8.11%"
"Jan 24, 2020","1.85","1.79","1.87","1.79","50.84M","3.35%"
"Jan 23, 2020","1.79","1.82","1.84","1.77","73.90M","-1.10%"
"Jan 22, 2020","1.81","1.74","1.82","1.74","138.60M","6.47%"
"Jan 21, 2020","1.70","1.61","1.72","1.61","99.84M","5.59%"
"Jan 20, 2020","1.61","1.59","1.61","1.59","15.04M","1.26%"
"Jan 17, 2020","1.59","1.57","1.59","1.57","31.24M","1.27%"
"Jan 16, 2020","1.57","1.58","1.58","1.56","10.96M","-1.87%"
"Jan 15, 2020","1.60","1.55","1.60","1.54","6.50M","3.23%"
"Jan 14, 2020","1.55","1.56","1.56","1.54","3.32M","0.00%"
"Jan 13, 2020","1.55","1.54","1.56","1.53","4.75M","0.65%"
"Jan 10, 2020","1.54","1.53","1.54","1.52","4.07M","0.65%"
"Jan 09, 2020","1.53","1.55","1.56","1.52","9.22M","-0.65%"
"Jan 08, 2020","1.54","1.55","1.56","1.54","10.37M","-0.65%"
"Jan 07, 2020","1.55","1.55","1.57","1.54","10.41M","0.00%"
"Jan 06, 2020","1.55","1.56","1.56","1.53","2.67M","-0.64%"
"Jan 03, 2020","1.56","1.55","1.57","1.53","6.67M","0.65%"
"Jan 02, 2020","1.55","1.57","1.58","1.54","4.56M","-1.27%"
"Dec 31, 2019","1.57","1.58","1.58","1.56","10.89M","-0.63%"
"Dec 30, 2019","1.58","1.59","1.59","1.58","3.15M","-0.63%"
"Dec 27, 2019","1.59","1.59","1.59","1.57","11.34M","0.63%"
"Dec 26, 2019","1.58","1.60","1.60","1.58","1.93M","-1.25%"
"Dec 24, 2019","1.60","1.59","1.60","1.57","3.38M","0.63%"
"Dec 23, 2019","1.59","1.60","1.60","1.57","4.40M","-0.62%"
"Dec 20, 2019","1.60","1.60","1.60","1.58","17.24M","0.00%"
"Dec 19, 2019","1.60","1.60","1.60","1.58","18.62M","0.00%"
"Dec 18, 2019","1.60","1.57","1.61","1.57","29.54M","3.23%"
"Dec 17, 2019","1.55","1.48","1.55","1.47","17.11M","4.73%"
"Dec 16, 2019","1.48","1.47","1.49","1.45","6.74M","1.37%"
"Dec 13, 2019","1.46","1.50","1.50","1.45","4.36M","-1.35%"
"Dec 12, 2019","1.48","1.49","1.50","1.48","2.50M","0.00%"
"Dec 11, 2019","1.48","1.47","1.50","1.47","2.53M","0.68%"
"Dec 10, 2019","1.47","1.45","1.48","1.45","3.12M","2.08%"
"Dec 09, 2019","1.44","1.48","1.48","1.44","2.88M","-2.04%"
"Dec 06, 2019","1.47","1.47","1.49","1.47","3.37M","0.00%"
"Dec 05, 2019","1.47","1.46","1.48","1.46","2.14M","0.68%"
"Dec 04, 2019","1.46","1.47","1.47","1.46","5.71M","-0.68%"
"Dec 03, 2019","1.47","1.51","1.51","1.46","10.07M","-2.00%"
"Dec 02, 2019","1.50","1.51","1.51","1.50","2.45M","0.00%"
"Nov 29, 2019","1.50","1.53","1.53","1.48","9.80M","-1.96%"
"Nov 28, 2019","1.53","1.54","1.54","1.50","5.21M","-0.65%"
"Nov 27, 2019","1.54","1.53","1.54","1.52","5.58M","0.65%"
"Nov 26, 2019","1.53","1.53","1.53","1.51","15.21M","0.00%"
"Nov 25, 2019","1.53","1.53","1.53","1.53","4.42M","0.00%"
"Nov 22, 2019","1.53","1.52","1.54","1.52","6.96M","0.00%"
"Nov 21, 2019","1.53","1.53","1.53","1.51","5.06M","0.00%"
"Nov 20, 2019","1.53","1.53","1.54","1.52","5.14M","0.00%"
"Nov 19, 2019","1.53","1.52","1.54","1.51","13.69M","0.66%"
"Nov 18, 2019","1.52","1.50","1.52","1.50","3.23M","1.33%"
"Nov 15, 2019","1.50","1.50","1.52","1.50","6.04M","0.00%"
"Nov 14, 2019","1.50","1.48","1.50","1.47","7.21M","1.35%"
"Nov 13, 2019","1.48","1.47","1.48","1.45","4.54M","0.68%"
"Nov 12, 2019","1.47","1.47","1.47","1.45","4.74M","0.00%"
"Nov 11, 2019","1.47","1.45","1.48","1.45","5.65M","1.38%"
"Nov 08, 2019","1.45","1.47","1.48","1.44","9.02M","-1.36%"
"Nov 07, 2019","1.47","1.46","1.47","1.45","8.34M","0.68%"
"Nov 06, 2019","1.46","1.50","1.50","1.45","10.76M","-2.67%"
"Nov 05, 2019","1.50","1.51","1.51","1.50","8.43M","-0.66%"
"Nov 04, 2019","1.51","1.47","1.52","1.47","14.76M","2.72%"
"Nov 01, 2019","1.47","1.46","1.47","1.45","6.70M","1.38%"
"Oct 31, 2019","1.45","1.47","1.48","1.45","4.02M","-1.36%"
"Oct 30, 2019","1.47","1.47","1.47","1.46","9.19M","0.68%"
"Oct 29, 2019","1.46","1.47","1.47","1.44","5.88M","0.69%"
"Oct 25, 2019","1.45","1.46","1.46","1.45","919.20K","-0.68%"
"Oct 24, 2019","1.46","1.46","1.47","1.45","2.59M","0.00%"
"Oct 23, 2019","1.46","1.45","1.46","1.44","3.53M","0.69%"
"Oct 22, 2019","1.45","1.45","1.46","1.44","4.59M","0.00%"
"Oct 21, 2019","1.45","1.45","1.45","1.44","5.59M","0.69%"
"Oct 18, 2019","1.44","1.45","1.45","1.44","3.03M","-0.69%"
"Oct 17, 2019","1.45","1.43","1.45","1.43","7.56M","1.40%"
"Oct 16, 2019","1.43","1.42","1.43","1.42","8.49M","0.70%"
"Oct 15, 2019","1.42","1.42","1.43","1.40","17.19M","0.00%"
"Oct 14, 2019","1.42","1.44","1.46","1.42","11.10M","-0.70%"
"Oct 11, 2019","1.43","1.44","1.44","1.42","10.19M","-0.69%"
"Oct 10, 2019","1.44","1.46","1.46","1.43","15.34M","-1.37%"
"Oct 09, 2019","1.46","1.49","1.49","1.44","22.35M","-2.01%"
"Oct 08, 2019","1.49","1.51","1.51","1.48","11.71M","-0.67%"
"Oct 07, 2019","1.50","1.49","1.52","1.49","13.75M","0.67%"
"Oct 04, 2019","1.49","1.50","1.51","1.48","10.38M","0.00%"
"Oct 03, 2019","1.49","1.50","1.50","1.49","4.83M","-0.67%"
"Oct 02, 2019","1.50","1.49","1.51","1.49","12.90M","0.00%"
"Oct 01, 2019","1.50","1.49","1.51","1.47","10.11M","1.35%"
"Sep 30, 2019","1.48","1.53","1.54","1.48","16.69M","-2.63%"
"Sep 27, 2019","1.52","1.57","1.58","1.52","12.03M","-3.18%"
"Sep 26, 2019","1.57","1.57","1.58","1.54","14.68M","-0.63%"
"Sep 25, 2019","1.58","1.58","1.58","1.57","14.21M","0.00%"
"Sep 24, 2019","1.58","1.57","1.58","1.57","5.71M","0.00%"
"Sep 23, 2019","1.58","1.58","1.58","1.57","21.88M","0.00%"
"Sep 20, 2019","1.58","1.58","1.58","1.57","18.50M","0.00%"
"Sep 19, 2019","1.58","1.60","1.60","1.57","7.17M","-0.63%"
"Sep 18, 2019","1.59","1.59","1.60","1.57","9.17M","-0.62%"
"Sep 17, 2019","1.60","1.59","1.60","1.58","7.03M","0.00%"
"Sep 13, 2019","1.60","1.59","1.60","1.58","9.53M","0.00%"
"Sep 12, 2019","1.60","1.59","1.60","1.58","11.32M","1.27%"
"Sep 11, 2019","1.58","1.58","1.59","1.57","19.63M","0.64%"
"Sep 10, 2019","1.57","1.57","1.58","1.57","10.38M","0.00%"
"Sep 06, 2019","1.57","1.57","1.58","1.56","5.40M","0.00%"
"Sep 05, 2019","1.57","1.57","1.57","1.56","10.82M","0.64%"
"Sep 04, 2019","1.56","1.57","1.57","1.56","7.60M","-0.64%"
"Sep 03, 2019","1.57","1.58","1.59","1.57","7.01M","-0.63%"
"Aug 30, 2019","1.58","1.56","1.58","1.56","12.19M","1.28%"
"Aug 29, 2019","1.56","1.55","1.56","1.54","6.33M","0.65%"
"Aug 28, 2019","1.55","1.55","1.55","1.54","9.00M","-0.64%"
"Aug 27, 2019","1.56","1.55","1.56","1.53","12.83M","0.65%"
"Aug 26, 2019","1.55","1.57","1.57","1.54","12.32M","-1.90%"
"Aug 23, 2019","1.58","1.53","1.58","1.52","10.48M","3.27%"
"Aug 22, 2019","1.53","1.50","1.54","1.50","7.01M","2.00%"
"Aug 21, 2019","1.50","1.50","1.51","1.49","4.89M","0.00%"
"Aug 20, 2019","1.50","1.51","1.53","1.49","5.58M","-0.66%"
"Aug 19, 2019","1.51","1.49","1.52","1.49","4.40M","1.34%"
"Aug 16, 2019","1.49","1.49","1.50","1.49","3.93M","-0.67%"
"Aug 15, 2019","1.50","1.49","1.50","1.48","5.37M","0.00%"
"Aug 14, 2019","1.50","1.50","1.51","1.50","9.57M","0.00%"
"Aug 13, 2019","1.50","1.51","1.51","1.50","6.58M","-0.66%"
"Aug 09, 2019","1.51","1.52","1.52","1.50","5.15M","-0.66%"
"Aug 08, 2019","1.52","1.53","1.53","1.52","7.40M","-0.65%"
"Aug 07, 2019","1.53","1.53","1.54","1.52","11.83M","0.00%"
"Aug 06, 2019","1.53","1.50","1.57","1.49","27.67M","1.32%"
"Aug 05, 2019","1.51","1.52","1.52","1.50","14.69M","-0.66%"
"Aug 02, 2019","1.52","1.52","1.52","1.51","12.63M","0.00%"
"Aug 01, 2019","1.52","1.51","1.53","1.50","8.80M","0.66%"
"Jul 31, 2019","1.51","1.54","1.54","1.50","16.67M","-1.95%"
"Jul 29, 2019","1.54","1.54","1.54","1.54","7.11M","0.00%"
"Jul 26, 2019","1.54","1.54","1.55","1.54","6.79M","0.00%"
"Jul 25, 2019","1.54","1.55","1.56","1.54","21.82M","-0.65%"
"Jul 24, 2019","1.55","1.55","1.55","1.54","4.48M","0.00%"
"Jul 23, 2019","1.55","1.54","1.55","1.54","6.53M","0.00%"
"Jul 22, 2019","1.55","1.55","1.56","1.54","10.33M","0.00%"
"Jul 19, 2019","1.55","1.56","1.57","1.54","16.91M","0.00%"
"Jul 18, 2019","1.55","1.54","1.56","1.53","22.16M","1.31%"
