"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2021","5.32","5.45","5.47","5.31","15.02M","-2.39%"
"May 04, 2021","5.45","5.46","5.55","5.33","16.79M","-0.55%"
"May 03, 2021","5.48","5.71","5.71","5.46","21.78M","-3.01%"
"Apr 30, 2021","5.65","5.75","5.76","5.53","33.50M","-0.35%"
"Apr 28, 2021","5.67","5.77","5.77","5.59","29.00M","-1.90%"
"Apr 27, 2021","5.78","5.93","6.06","5.72","47.27M","-2.03%"
"Apr 26, 2021","5.90","5.76","5.98","5.76","68.32M","2.97%"
"Apr 23, 2021","5.73","5.62","5.76","5.61","37.68M","1.96%"
"Apr 22, 2021","5.62","5.51","5.70","5.44","41.97M","3.12%"
"Apr 21, 2021","5.45","5.42","5.52","5.38","23.51M","0.93%"
"Apr 20, 2021","5.40","5.46","5.46","5.26","16.98M","-1.10%"
"Apr 19, 2021","5.46","5.55","5.63","5.38","38.33M","-1.97%"
"Apr 16, 2021","5.57","5.44","5.60","5.37","62.30M","2.39%"
"Apr 15, 2021","5.44","5.16","5.49","5.14","59.83M","6.04%"
"Apr 14, 2021","5.13","5.10","5.16","5.09","11.61M","0.98%"
"Apr 13, 2021","5.08","5.27","5.29","5.07","20.12M","-3.24%"
"Apr 12, 2021","5.25","5.27","5.37","5.21","16.42M","0.38%"
"Apr 09, 2021","5.23","5.45","5.51","5.20","31.98M","-3.15%"
"Apr 08, 2021","5.40","4.92","5.45","4.92","82.27M","9.98%"
"Apr 07, 2021","4.91","4.78","4.91","4.77","15.17M","2.94%"
"Apr 06, 2021","4.77","4.72","4.82","4.72","10.91M","1.92%"
"Apr 05, 2021","4.68","4.75","4.78","4.68","8.24M","-1.47%"
"Apr 02, 2021","4.75","4.71","4.85","4.66","18.81M","2.37%"
"Apr 01, 2021","4.64","4.52","4.71","4.52","26.25M","2.65%"
"Mar 31, 2021","4.52","4.70","4.71","4.45","76.30M","-5.44%"
"Mar 30, 2021","4.78","4.97","4.98","4.76","68.15M","-5.35%"
"Mar 29, 2021","5.05","5.12","5.12","5.02","15.81M","-1.94%"
"Mar 26, 2021","5.15","5.11","5.20","5.07","8.96M","0.98%"
"Mar 25, 2021","5.10","5.14","5.16","5.05","13.05M","-0.39%"
"Mar 24, 2021","5.12","5.04","5.12","5.04","9.55M","1.39%"
"Mar 23, 2021","5.05","5.16","5.16","5.04","20.46M","-6.48%"
"Mar 22, 2021","5.40","5.39","5.52","5.33","37.97M","-0.18%"
"Mar 19, 2021","5.41","5.32","5.41","5.22","30.08M","2.85%"
"Mar 18, 2021","5.26","5.38","5.41","5.26","20.43M","-2.23%"
"Mar 17, 2021","5.38","5.26","5.38","5.20","27.31M","2.67%"
"Mar 16, 2021","5.24","5.23","5.29","5.18","18.43M","1.16%"
"Mar 15, 2021","5.18","5.22","5.25","5.14","19.04M","-0.38%"
"Mar 12, 2021","5.20","5.32","5.35","5.19","22.49M","-2.26%"
"Mar 11, 2021","5.32","5.32","5.39","5.23","28.32M","0.00%"
"Mar 10, 2021","5.32","5.23","5.45","5.21","57.74M","2.50%"
"Mar 09, 2021","5.19","5.04","5.28","5.02","43.90M","2.98%"
"Mar 08, 2021","5.04","5.31","5.36","5.01","33.98M","-4.00%"
"Mar 05, 2021","5.25","4.90","5.25","4.90","42.67M","5.85%"
"Mar 04, 2021","4.96","5.10","5.11","4.88","37.16M","-2.55%"
"Mar 03, 2021","5.09","4.80","5.17","4.74","74.07M","7.16%"
"Mar 02, 2021","4.75","4.90","5.04","4.65","63.94M","-3.06%"
"Mar 01, 2021","4.90","5.20","5.23","4.80","65.82M","-6.49%"
"Feb 26, 2021","5.24","5.32","5.40","5.22","41.76M","-1.13%"
"Feb 25, 2021","5.30","5.33","5.40","5.13","49.34M","1.34%"
"Feb 24, 2021","5.23","5.68","5.74","5.20","92.76M","-7.76%"
"Feb 23, 2021","5.67","5.76","5.91","5.65","34.61M","-1.90%"
"Feb 22, 2021","5.78","5.98","5.99","5.78","39.05M","-4.46%"
"Feb 19, 2021","6.05","6.08","6.14","5.98","27.07M","-0.33%"
"Feb 18, 2021","6.07","6.20","6.21","6.06","21.38M","-1.94%"
"Feb 17, 2021","6.19","6.12","6.22","6.12","25.09M","2.15%"
"Feb 16, 2021","6.06","6.19","6.20","6.05","29.84M","-1.78%"
"Feb 15, 2021","6.17","6.24","6.25","6.16","12.99M","-0.16%"
"Feb 11, 2021","6.18","6.20","6.24","6.16","10.24M","0.49%"
"Feb 10, 2021","6.15","6.20","6.25","6.14","20.32M","-0.81%"
"Feb 09, 2021","6.20","6.25","6.37","6.19","25.75M","-1.12%"
"Feb 08, 2021","6.27","6.57","6.58","6.27","39.54M","-5.14%"
"Feb 05, 2021","6.61","6.73","6.74","6.55","18.00M","-1.49%"
"Feb 04, 2021","6.71","6.79","6.80","6.62","33.07M","-1.61%"
"Feb 03, 2021","6.82","7.00","7.01","6.76","44.01M","-3.26%"
"Feb 02, 2021","7.05","6.85","7.07","6.80","100.20M","4.60%"
"Jan 29, 2021","6.74","7.05","7.12","6.56","161.62M","8.53%"
"Jan 27, 2021","6.21","6.25","6.28","6.14","17.82M","0.16%"
"Jan 26, 2021","6.20","6.49","6.51","6.18","35.66M","-4.91%"
"Jan 25, 2021","6.52","6.35","6.58","6.32","54.11M","4.32%"
"Jan 22, 2021","6.25","6.11","6.37","6.06","47.66M","3.82%"
"Jan 21, 2021","6.02","6.20","6.25","6.01","29.13M","-1.95%"
"Jan 20, 2021","6.14","6.16","6.28","6.09","21.81M","0.16%"
